iter	Passed	Remaining
585	10827	7649
586	10861	7641
587	10920	7651
588	10947	7639
589	11058	7684
590	11338	7846
591	11540	7953
592	11767	8076
593	11901	8134
594	11939	8126
595	12068	8180
596	12105	8171
597	12130	8154
598	12150	8134
599	12169	8113
600	12199	8099
601	12229	8085
602	12249	8064
603	12268	8043
604	12292	8025
605	12310	8003
606	12327	7981
607	12364	7971
608	12379	7948
609	12398	7926
610	12430	7913
611	12446	7890
612	12468	7871
613	12486	7849
614	12501	7826
615	12520	7805
616	12539	7783
617	12576	7773
618	12613	7763
619	12636	7744
620	12654	7723
621	12685	7708
622	12704	7687
623	12722	7666
624	12749	7649
625	12785	7638
626	12806	7618
627	12833	7602
628	12850	7579
629	12869	7558
630	12889	7537
631	12906	7515
632	12930	7496
633	12951	7476
634	12992	7468
635	13017	7450
636	13071	7448
637	13096	7430
638	13117	7410
639	13158	7401
640	13183	7383
641	13215	7369
642	13243	7352
643	13264	7332
644	13285	7312
645	13303	7289
646	13332	7274
647	13360	7257
648	13385	7239
649	13413	7222
650	13443	7207
651	13472	7190
652	13492	7169
653	13529	7157
654	13553	7139
655	13573	7117
656	13600	7100
657	13620	7079
658	13642	7059
659	13678	7046
660	13708	7030
661	13728	7009
662	13745	6986
663	13768	6967
664	13792	6947
665	13824	6932
666	13861	6920
667	13885	6901
668	13905	6880
669	13935	6863
670	13964	6846
671	14011	6838
672	14061	6832
673	14097	6818
674	14124	6800
675	14152	6783
676	14183	6767
677	14205	6746
678	14223	6724
679	14249	6705
680	14269	6684
681	14302	6668
682	14333	6652
683	14361	6634
684	14433	6637
685	14494	6634
686	14526	6618
687	14550	6598
688	14596	6588
689	14647	6580
690	14689	6568
691	14714	6549
692	14743	6531
693	14773	6514
694	14807	6498
695	14826	6475
696	14843	6452
697	14860	6429
698	14877	6406
699	14902	6386
700	14917	6362
701	14932	6339
702	14949	6315
703	14967	6293
704	14983	6269
705	14999	6246
706	15017	6223
707	15034	6200
708	15050	6177
709	15065	6153
710	15081	6130
711	15097	6107
712	15115	6084
713	15131	6061
714	15144	6036
715	15159	6013
716	15172	5988
717	15187	5964
718	15202	5941
719	15243	5928
720	15259	5904
721	15274	5881
722	15286	5856
723	15301	5833
724	15318	5810
725	15341	5790
726	15358	5767
727	15380	5746
728	15414	5730
729	15444	5712
730	15466	5691
731	15491	5671
732	15515	5651
733	15531	5628
734	15545	5604
735	15559	5581
736	15576	5558
737	15593	5535
738	15609	5513
739	15624	5489
740	15639	5466
741	15652	5442
742	15664	5418
743	15676	5394
744	15689	5370
745	15704	5347
746	15719	5323
747	15732	5300
748	15744	5276
749	15759	5253
750	15774	5230
751	15788	5206
752	15802	5183
753	15815	5160
754	15830	5137
755	15853	5116
756	15869	5094
757	15886	5071
758	15901	5049
759	15915	5026
760	15932	5003
761	15944	4980
762	15956	4956
763	15971	4933
764	15986	4911
765	16003	4888
766	16020	4866
767	16034	4843
768	16050	4821
769	16067	4799
770	16083	4777
771	16099	4754
772	16115	4732
773	16131	4710
774	16149	4688
775	16164	4666
776	16180	4643
777	16196	4621
778	16211	4599
779	16226	4576
780	16240	4553
781	16256	4531
782	16270	4509
783	16284	4486
784	16296	4463
785	16311	4441
786	16326	4418
787	16341	4396
788	16357	4374
789	16373	4352
790	16388	4330
791	16403	4307
792	16418	4285
793	16433	4263
794	16447	4241
795	16465	4219
796	16478	4197
797	16496	4175
798	16509	4153
799	16525	4131
800	16540	4109
801	16556	4087
802	16572	4065
803	16590	4044
804	16610	4023
805	16623	4001
806	16636	3978
807	16651	3956
808	16665	3934
809	16681	3912
810	16697	3891
811	16712	3869
812	16725	3846
813	16740	3825
814	16752	3802
815	16780	3783
816	16793	3761
817	16807	3739
818	16819	3717
819	16831	3694
820	16847	3673
821	16862	3651
822	16878	3629
823	16892	3608
824	16905	3586
825	16918	3564
826	16931	3541
827	16946	3520
828	16963	3499
829	16979	3477
830	16995	3456
831	17012	3435
832	17032	3414
833	17045	3392
834	17060	3371
835	17075	3349
836	17088	3327
837	17101	3306
838	17113	3283
839	17124	3261
840	17137	3239
841	17149	3218
842	17160	3195
843	17173	3174
844	17185	3152
845	17195	3130
846	17206	3108
847	17219	3086
848	17229	3064
849	17240	3042
850	17253	3020
851	17264	2998
852	17276	2977
853	17288	2955
854	17301	2934
855	17312	2912
856	17322	2890
857	17334	2868
858	17345	2847
859	17355	2825
860	17366	2803
861	17377	2782
862	17389	2760
863	17403	2739
864	17414	2717
865	17426	2696
866	17438	2675
867	17451	2653
868	17464	2632
869	17477	2611
870	17487	2590
871	17499	2568
872	17512	2547
873	17524	2526
874	17535	2505
875	17547	2483
876	17559	2462
877	17568	2441
878	17579	2419
879	17591	2398
880	17603	2377
881	17613	2356
882	17625	2335
883	17637	2314
884	17647	2293
885	17657	2271
886	17669	2251
887	17680	2229
888	17691	2208
889	17703	2188
890	17716	2167
891	17726	2146
892	17736	2125
893	17745	2104
894	17756	2083
895	17767	2062
896	17778	2041
897	17790	2020
898	17802	2000
899	17812	1979
900	17824	1958
901	17837	1938
902	17848	1917
903	17858	1896
904	17871	1875
905	17881	1855
906	17891	1834
907	17904	1814
